no,time,src,dst,protocol,info
1,0.000000000,192.168.47.139,192.168.47.2,DNS,www.kali.org
2,0.000046307,192.168.47.139,192.168.47.2,DNS,www.kali.org
3,0.006310081,192.168.47.2,192.168.47.139,DNS,www.kali.org
4,0.009457151,192.168.47.2,192.168.47.139,DNS,www.kali.org
5,0.010401383,192.168.47.139,104.18.4.159,TCP,N/A
6,0.014507393,104.18.4.159,192.168.47.139,TCP,N/A
7,0.014531979,192.168.47.139,104.18.4.159,TCP,N/A
8,0.015288583,192.168.47.139,104.18.4.159,TLS,N/A
9,0.015407897,104.18.4.159,192.168.47.139,TCP,N/A
10,0.022161392,104.18.4.159,192.168.47.139,TLS,N/A
11,0.022176360,192.168.47.139,104.18.4.159,TCP,N/A
12,0.027842810,192.168.47.139,104.18.4.159,TLS,N/A
13,0.027978154,104.18.4.159,192.168.47.139,TCP,N/A
14,0.028396572,192.168.47.139,104.18.4.159,TLS,N/A
15,0.028551232,104.18.4.159,192.168.47.139,TCP,N/A
16,0.032280439,104.18.4.159,192.168.47.139,TLS,N/A
17,0.032704366,192.168.47.139,104.18.4.159,TLS,N/A
18,0.032778145,104.18.4.159,192.168.47.139,TCP,N/A
19,0.035829982,104.18.4.159,192.168.47.139,TLS,N/A
20,0.076440777,192.168.47.139,104.18.4.159,TCP,N/A
